x1,x2,label
0.57,520.0,0
1.09,680.0,0
1.41,450.0,0
1.79,630.0,0
3.1,420.0,0
1.75,355.0,0
2.65,678.0,0
3.18,502.0,0
2.0,510.0,0
1.3,750.0,0
1.28,718.0,0
1.02,870.0,0
2.86,410.0,0
1.84,472.0,0
2.89,985.0,0
2.14,886.0,0
1.57,428.0,0
2.03,392.0,0
1.32,500.0,0
1.85,750.0,0
2.55,463.0,0
2.26,278.0,0
2.53,714.0,0
1.58,630.0,0
1.59,515.0,0
2.21,520.0,0
1.94,450.0,0
1.69,495.0,0
1.61,562.0,0
1.69,680.0,0
1.59,625.0,0
1.5,480.0,0
1.25,450.0,0
1.46,495.0,0
2.25,290.0,0
2.26,345.0,0
2.27,937.0,0
0.99,625.0,0
2.5,428.0,0
3.75,660.0,0
2.99,406.0,0
2.17,710.0,0
1.36,562.0,0
2.11,438.0,0
1.64,415.0,0
1.92,672.0,0
1.84,315.0,0
2.03,510.0,0
1.76,488.0,0
2.04,312.0,0
2.92,680.0,0
2.58,562.0,0
2.27,325.0,0
2.03,607.0,0
2.01,434.0,0
2.29,385.0,0
2.17,407.0,0
1.6,495.0,0
2.09,345.0,0
1.25,372.0,0
1.64,564.0,0
2.79,625.0,0
5.08,465.0,0
2.13,365.0,0
2.65,380.0,0
3.03,380.0,0
2.65,378.0,0
3.15,352.0,0
2.24,466.0,0
2.45,342.0,0
1.75,580.0,0
3.06,1065.0,1
2.76,1050.0,1
3.24,1185.0,1
3.49,1480.0,1
2.69,735.0,1
3.39,1450.0,1
2.52,1290.0,1
2.51,1295.0,1
2.98,1045.0,1
3.15,1045.0,1
3.32,1510.0,1
2.43,1280.0,1
2.76,1320.0,1
3.69,1150.0,1
3.64,1547.0,1
2.91,1310.0,1
3.14,1280.0,1
3.4,1130.0,1
3.93,1680.0,1
3.03,845.0,1
3.17,780.0,1
2.41,770.0,1
2.88,1035.0,1
2.37,1015.0,1
2.61,845.0,1
2.68,830.0,1
2.94,1195.0,1
2.19,1285.0,1
2.97,915.0,1
2.33,1035.0,1
3.25,1285.0,1
3.19,1515.0,1
2.69,990.0,1
2.74,1235.0,1
2.53,1095.0,1
2.98,920.0,1
2.68,880.0,1
2.43,1105.0,1
2.64,1020.0,1
3.04,760.0,1
3.29,795.0,1
2.68,1035.0,1
3.56,1095.0,1
2.63,680.0,1
3.0,885.0,1
2.65,1080.0,1
3.17,1065.0,1
3.39,985.0,1
2.92,1060.0,1
3.54,1260.0,1
3.27,1150.0,1
2.99,1265.0,1
3.74,1190.0,1
2.79,1375.0,1
2.9,1060.0,1
2.78,1120.0,1
3.0,970.0,1
3.23,1270.0,1
3.67,1285.0,1
