message,label
"
rubberized undercoating for this. 

-- 
Von Welch (vwelch@ncsa.uiuc.edu)	NCSA Networking Development Group
'93 CBR600F2			'78 KZ650		'83 Subaru GL 4WD",1
"The Harvard Computer Society is pleased to announce its third lecture of
the spring.  Ivan Sutherland, the father of computer graphics and an
innovator in microprocessing, will be speaking at Harvard University on
Tuesday, April 20, 1993, at 4:00 pm in Aiken Computations building, room
101.  The title of his talk is ""Logical Effort and the Conflict over the
Control of Information.""

Cookies and tea will be served at 3:30 pm in the Aiken Lobby.  Admissions
is free, and all are welcome.

Aiken is located north of the Science Center near the Law School.

For more information, send e-mail to eekim@husc.harvard.edu.

The lecture will be videotaped, and a tape will be made available.

Thanks.
",0
"I just mailed this:

I noticed a 2-3in long cut in the tread of the rear tire on my VFR.
The cut is only about as deep as the tread block, and looks like it
only scratched the rubber at the base, but the weird thing is, it's
way over on the edge where I haven't scuffed the tire in yet.
My questions are:
1. How dangerous is this, should I replace the tire right away?
and
2. If I should, since the cut is on the unscuffed portion and the
tire only has about 330 mi on it, what do you think my chances of
getting it replaced under warranty are?

To the nedod mailing list, and Jack Tavares suggested I check out
how old the tire is as one tactic for getting it replaced.  Does
anyone have the file on how to read the date codes handy?

Thanks,
Dean
",1
"
The RS6000 compiler is so forgiving, I think that if you mixed COBOL & pascal
the C compiler still wouldn't complain. :-)

Steve
-- ",0
"
While I agree with you on that formal training is essential for safe riding,
I disagree strongly with your original point. The point of formal training 
must be to prepare riders for the road. Preparedness is in my opinion
to know as much as possible. So, to exclude some aspects of riding a bike 
in a course is wrong IMHO. Now to countersteering in particular.
Countersteering is something that must be trained. A common reaction among 
new bikers (or bicycle riders) in an emergency situation, is to steer the 
motorcycle like a bicycle. As we know this makes the motorcycle go in the
direction opposite to what was intended. Needless to say, this is dangerous.
I have a specific example: A rider in a left turn. The rider thinks he/she
is to close to the right shoulder of the road, and tries to steer the 
motorcycle to the left by pulling the left handle and pushing the right 
handle. The motorcycle straightens up and goes off the road. 
A worse scenario: The same rider, same turn. In the middle of the turn
the rider sees a truck coming towards him/her. The panicking rider tries
to steer the motorcycle away from the truck and crashes right into it.

The main function of a riding course is to teach how to avoid emergency 
situations, AND what to do if in one. Thus, the knowledge (and training) of
countersteering is IMHO a must in any riding course.",1
"For those of you who are thinking about fiamms, you might also want to think
about airhorns. I just installed a set of Bosch air horns ordered from 
Dennis Kirk (pg. 282 of the latest catalog) on my '85 FJ1100. They are rated
at 93db at 7 meters. I installed them using 10 gage wire from the battery to
the relay to the compressor to ground. My stock horn connectors fit the relay
pins just fine. I soldered the connections to the relay and compressor, and used
a crimp type battery connector and an inline 10amp fuse/connector from NAPA.
	I installed the compressor just forward of the fuse box in the front
fairing by tie wrapping between the steering head frame and the black steel tube
frame used to support the front fairing. You have to remove the front fairing to
do this, but it fits outside of the frame but inside the fairing on the two
vertical supports just in front of the fuses. Depending how tight your fairing
follows the frame, you should be able to fit it somewhere in the fairing.
The compressor is about 2"" in diameter and about 5"" long.
	The relay mounted on the front of the steering head frame (it is small
so there should be plenty of good places for it.
	I found a perfect place for the horns that required only tie wraps to
mount. The horns fit inside the front fairing/frame and stick out on either side
just in front of the air scoops, but behind the turn signals. The back of the
horns point back towards the center of the bike and come real close to where
the gas tank connects to the front part of the frame. There is just enough
room to the outside to allow full lock to lock clearance, and there are nice
cut outs in the frame for the back of the horn to go into.
	The short horn is even with the fairing, and the long one sticks out
about an inch or so, but it is really not that noticable unless you look
closely. They end up pointing down slightly and maybe 30 degrees from straight
ahead (perfect for those cagers trying to change lanes into you).
	If you have any other questions about the mounting, email, and I can try
to explain better. If your bike is not red, then you may want to paint them
first.
	How do they work you ask? They are very, very, very *LOUD*. They sound
more like a european sports car than a truck, but a vast improvement over stock.
I have used them at least daily since installing them, and the 10 amp fuse has
not blown yet (although, the duration of the horn blasts have been short).
	I've repeatedly scared the shit out of my friends with them, even though
they know that I have the horns, they still jump. They are perfect for keeping
the pedestrians on the sidewalk.
The bottom line is they work, are loud enough to cause pain and suffering to
those stupid lane changing cages (as well as take a few years off their lives)
and are relatively easy to install on the FJ. YMMV.",1
"I first heard it about academic politics but the same thought seems to
apply to the BMWMOA

""The politics is so dirty because the stakes are so small.""

Who cares? I get my dues-worth from the ads and occasional technical
articles in the ""News"". I skip the generally drab articles about someone's
trek across Iowa. If some folks get thrilled by the power of the BMWMOA,
they deserve whatever thrills their sad lives provide.

BTW, I voted for new blood just to keep things stirred up.",1
"Moscow Scientific Inductrial Association ""Spectrum"" offer
       VIDEOSCAN vision system for PC/AT,wich include software and set of
       controllers.

                     SOFTWARE

            For support VIDEOSCAN family program kit was developed. Kit
       includes more then 200 different functions for image processing.
            Kit works in the interactive regime, and has include Help for
       non professional users.
            There are next possibility:
       - input frame by any board of VIDEOSCAN family;
       - read - white image to - from disk;
       - print image on the printer;
       - makes arithmetic with 2 frames;
       - filter image;
       - work with gistogramme;
       - edit image.
       - include users exe modules.

                     CONTROLLER VS9

       The function of VS-9 controller is to load TV-images into  PC/AT.
       VS-9 controller allows one to load a fragment of the TV-frame from
       a field of 724x600 pixels.
       The clock rate is 14,7 MHz when loading an image with 512 pixel in
       the line and 7,4 MHz when loading a 256 pixels image. This
       provides the equal pixel size of input image in both horizontal
       and vertical directions.
       The number of gray levels in any input modes is 256.
       Video signal capture time - 2.5s.

                     CONTROLLER VS52

       The purpose of the controller is to enter the TV images into a IBM
       PC AT or any other machine of that type. The controller was
       created on the base of modern elements, including user
       programmable gate arrays.
       The controller allows to digitize a input signal with different
       resolutions. Its flexible architecture makes possible to change
       technical parameters. Instead of TV signal one can process any
       other analog signal (including signals from slow-speed scanning
       devices).
       The controller has the following technical characteristics:
       - memory volume - from 256 K to 2 Mb ;
       - resolution when working with standard video signal - from 64x64
       to 1024x512 pixels ;
       - resolution when working in slow input regime - up to 2048x1024
       pixels;
       - video signal capture time - 40 ms.
       - maximum size of a screen when memory volume is 2Mb - 2048x1024
       pixels ;
       - number of gray level - 256 ;
       - clock rate for input - up to 30 MHz ;
       - 4 input video multiplexer ;
       - input/output lookup table (LUT);
       - possibility to realize ""scroll"" and ""zoom"";













       - 8 lines for external synchronization (an input using external
       controlling signal) ;
       - electronic adjustment of black and white reference for analog -
       digital converter;
       - possibility output image to the color RGB monitor.
       One can change all listed above functions and parameters of the
       controller by reprogramming it.


              IMAGE PROCESSOR VS100
",0
"Hello, and thank you for reading this request.  I have a Mpeg viewer for x-windows and it did not run because I was running it on a monochrome monitor.  I need the mono-driver for mpeg_play.   ",0
"I have the need for displaying 2 1/2 D surfaces under X, using only
Xlib, Xt and Xm.  Does anyone know of a package, available on internet,
which will be able to do the work?

   I am looking for a STAND-ALONE package providing similar functions
to ""xprism3"" available with Khoros, but without the numerous libraries
required for it.  I want to be able to recompile it and run it on
various platforms, from SGIs to i486s (UNIX).

   Any help will be appreciated.
",0
